source,stem,status,normalised_src,unique,plain,n_segments,n_words,n_lines,emotions
12AngryMenTest.mp4,12AngryMenTest,ok,,evaluationoutput/video/12AngryMenTestv20_withUniqueSubtitles.mp4,evaluationoutput/video/12AngryMenTestv20_withoutUniqueSubtitles.mp4,48,339,46,"neutral:15, excited:14, frustrated:7, angry:5, sad:4, surprised:2, happy:1"
BBC(Tense).mp4,BBC_Tense,ok,,evaluationoutput/video/BBC_Tensev20_withUniqueSubtitles.mp4,evaluationoutput/video/BBC_Tensev20_withoutUniqueSubtitles.mp4,103,497,64,"sad:48, frustrated:17, excited:16, neutral:16, angry:4, happy:2"
BreakingBad(Happy).mp4,BreakingBad_Happy,ok,outputs/normalised/BreakingBad(Happy)_norm.mp4,evaluationoutput/video/BreakingBad_Happyv20_withUniqueSubtitles.mp4,evaluationoutput/video/BreakingBad_Happyv20_withoutUniqueSubtitles.mp4,16,25,6,"neutral:6, sad:3, angry:2, frustrated:2, excited:2, surprised:1"
BreakingBad2.mp4,BreakingBad2,ok,,evaluationoutput/video/BreakingBad2v20_withUniqueSubtitles.mp4,evaluationoutput/video/BreakingBad2v20_withoutUniqueSubtitles.mp4,36,166,40,"neutral:9, excited:8, frustrated:8, angry:7, surprised:2, sad:2"
GreenBook(Stressed).mp4,GreenBook_Stressed,ok,outputs/normalised/GreenBook(Stressed)_norm.mp4,evaluationoutput/video/GreenBook_Stressedv20_withUniqueSubtitles.mp4,evaluationoutput/video/GreenBook_Stressedv20_withoutUniqueSubtitles.mp4,5,88,5,"frustrated:4, neutral:1"
Interstellar.mp4,Interstellar,ok,outputs/normalised/Interstellar_norm.mp4,evaluationoutput/video/Interstellarv20_withUniqueSubtitles.mp4,evaluationoutput/video/Interstellarv20_withoutUniqueSubtitles.mp4,20,158,23,"sad:10, neutral:6, excited:3, frustrated:1"
NBA(interview).mp4,NBA_interview,ok,,evaluationoutput/video/NBA_interviewv20_withUniqueSubtitles.mp4,evaluationoutput/video/NBA_interviewv20_withoutUniqueSubtitles.mp4,44,369,36,"neutral:12, frustrated:12, sad:8, excited:6, angry:2, surprised:2, happy:1, fearful:1"
Obsession(fear).mp4,Obsession_fear,ok,outputs/normalised/Obsession(fear)_norm.mp4,evaluationoutput/video/Obsession_fearv20_withUniqueSubtitles.mp4,evaluationoutput/video/Obsession_fearv20_withoutUniqueSubtitles.mp4,3,10,1,"excited:1, fearful:1, angry:1"
RDR2(sad).mp4,RDR2_sad,ok,,evaluationoutput/video/RDR2_sadv20_withUniqueSubtitles.mp4,evaluationoutput/video/RDR2_sadv20_withoutUniqueSubtitles.mp4,68,332,58,"frustrated:17, sad:17, excited:12, neutral:11, angry:5, surprised:3, fearful:2, happy:1"
Tetris.mp4,Tetris,ok,outputs/normalised/Tetris_norm.mp4,evaluationoutput/video/Tetrisv20_withUniqueSubtitles.mp4,evaluationoutput/video/Tetrisv20_withoutUniqueSubtitles.mp4,35,223,31,"neutral:8, sad:8, excited:7, frustrated:7, happy:2, surprised:2, angry:1"
TheMentalist(Threathen).mp4,TheMentalist_Threathen,ok,outputs/normalised/TheMentalist(Threathen)_norm.mp4,evaluationoutput/video/TheMentalist_Threathenv20_withUniqueSubtitles.mp4,evaluationoutput/video/TheMentalist_Threathenv20_withoutUniqueSubtitles.mp4,5,114,9,"sad:4, neutral:1"
TWD(Angry).mp4,TWD_Angry,ok,outputs/normalised/TWD(Angry)_norm.mp4,evaluationoutput/video/TWD_Angryv20_withUniqueSubtitles.mp4,evaluationoutput/video/TWD_Angryv20_withoutUniqueSubtitles.mp4,5,24,4,"sad:3, angry:1, frustrated:1"
